College Name,NIRF Rank,Rating,Ownership,Fees,Admission Link,Placement Link,Courses Link,Facilities Link
NIT Warangal - National Institute of Technology Warangal,21,4.6/5,Public/Government,"Fees :  ₹1.65 Lakhs  - ₹3.04 Lakhs, Fees :  ₹8.48 Lakhs",https://www.careers360.com/university/national-institute-of-technology-warangal/admission,https://www.careers360.com/university/national-institute-of-technology-warangal/placement,https://www.careers360.com/university/national-institute-of-technology-warangal/courses,https://www.careers360.com/university/national-institute-of-technology-warangal/facilities
IIT Ropar (IIT-RPR) - Indian Institute of Technology Ropar,22,4.5/5,Public/Government,Fees :  ₹1.13 Lakhs,https://www.careers360.com/university/indian-institute-of-technology-ropar/admission,https://www.careers360.com/university/indian-institute-of-technology-ropar/placement,https://www.careers360.com/university/indian-institute-of-technology-ropar/courses,https://www.careers360.com/university/indian-institute-of-technology-ropar/facilities
"Amrita Vishwa Vidyapeetham, Coimbatore",23,4.3/5,Private,"Fees :  ₹3.46 Lakhs, Fees :  ₹10 Lakhs  - ₹24 Lakhs",https://www.careers360.com/university/amrita-vishwa-vidyapeetham-coimbatore/admission,https://www.careers360.com/university/amrita-vishwa-vidyapeetham-coimbatore/placement,https://www.careers360.com/university/amrita-vishwa-vidyapeetham-coimbatore/courses,https://www.careers360.com/university/amrita-vishwa-vidyapeetham-coimbatore/facilities
"JMI New Delhi - Jamia Millia Islamia, New Delhi",24,4.5/5,Public/Government,Fees :  ₹31 K  - ₹1.10 Lakhs,https://www.careers360.com/university/jamia-millia-islamia-new-delhi/admission,https://www.careers360.com/university/jamia-millia-islamia-new-delhi/placement,https://www.careers360.com/university/jamia-millia-islamia-new-delhi/courses,https://www.careers360.com/university/jamia-millia-islamia-new-delhi/facilities
NIT Calicut - National Institute of Technology Calicut,25,4.3/5,Public/Government,"Fees :  ₹99.29 K  - ₹3.97 Lakhs, Fees :  ₹6.23 Lakhs",https://www.careers360.com/university/national-institute-of-technology-calicut/admission,https://www.careers360.com/university/national-institute-of-technology-calicut/placement,https://www.careers360.com/university/national-institute-of-technology-calicut/courses,https://www.careers360.com/university/national-institute-of-technology-calicut/facilities
"Siksha 'O' Anusandhan, Bhubaneswar",26,4.1/5,Private,Fees :  ₹6.68 Lakhs  - ₹11.45 Lakhs,https://www.careers360.com/university/siksha-o-anusandhan-bhubaneswar/admission,https://www.careers360.com/university/siksha-o-anusandhan-bhubaneswar/placement,https://www.careers360.com/university/siksha-o-anusandhan-bhubaneswar/courses,https://www.careers360.com/university/siksha-o-anusandhan-bhubaneswar/facilities
"DTU Delhi - Delhi Technological University, Delhi",27,4.5/5,Public/Government,"Fees :  ₹1.81 Lakhs  - ₹3.31 Lakhs, Fees :  ₹2.95 Lakhs  - ₹7.81 Lakhs",https://www.careers360.com/university/delhi-technological-university-delhi/admission,https://www.careers360.com/university/delhi-technological-university-delhi/placement,https://www.careers360.com/university/delhi-technological-university-delhi/courses,https://www.careers360.com/university/delhi-technological-university-delhi/facilities
IIT Jodhpur - Indian Institute of Technology Jodhpur,28,4.4/5,Public/Government,Fees :  ₹1.68 Lakhs,https://www.careers360.com/university/indian-institute-of-technology-jodhpur/admission,https://www.careers360.com/university/indian-institute-of-technology-jodhpur/placement,https://www.careers360.com/university/indian-institute-of-technology-jodhpur/courses,https://www.careers360.com/university/indian-institute-of-technology-jodhpur/facilities
"Thapar University - Thapar Institute of Engineering and Technology, Patiala",29,4.3/5,Private,"Fees :  ₹11.07 Lakhs  - ₹24.10 Lakhs, Fees :  ₹2.67 Lakhs  - ₹4.29 Lakhs",https://www.careers360.com/university/thapar-institute-of-engineering-and-technology-patiala/admission,https://www.careers360.com/university/thapar-institute-of-engineering-and-technology-patiala/placement,https://www.careers360.com/university/thapar-institute-of-engineering-and-technology-patiala/courses,https://www.careers360.com/university/thapar-institute-of-engineering-and-technology-patiala/facilities
"Amity University, Noida",30,4.1/5,Private,"Fees :  ₹7.48 Lakhs  - ₹19.40 Lakhs, Fees :  ₹2.40 Lakhs  - ₹6 Lakhs",https://www.careers360.com/university/amity-university-noida/admission,https://www.careers360.com/university/amity-university-noida/placement,https://www.careers360.com/university/amity-university-noida/courses,https://www.careers360.com/university/amity-university-noida/facilities
IIT Mandi - Indian Institute of Technology Mandi,31,4.4/5,Public/Government,"Fees :  ₹76.30 K  - ₹78.80 K, Fees :  ₹8.63 Lakhs",https://www.careers360.com/university/indian-institute-of-technology-mandi/admission,https://www.careers360.com/university/indian-institute-of-technology-mandi/placement,https://www.careers360.com/university/indian-institute-of-technology-mandi/courses,https://www.careers360.com/university/indian-institute-of-technology-mandi/facilities
"Chandigarh University - Chandigarh University, Chandigarh",32,4.3/5,Private,"Fees :  ₹5.70 Lakhs  - ₹14 Lakhs, Fees :  ₹2.26 Lakhs  - ₹2.88 Lakhs",https://www.careers360.com/university/chandigarh-university-chandigarh/admission,https://www.careers360.com/university/chandigarh-university-chandigarh/placement,https://www.careers360.com/university/chandigarh-university-chandigarh/courses,https://www.careers360.com/university/chandigarh-university-chandigarh/facilities
"AMU Aligarh - Aligarh Muslim University, Aligarh",33,4.7/5,Public/Government,Fees :  ₹21.50 K,https://www.careers360.com/university/aligarh-muslim-university-aligarh/admission,https://www.careers360.com/university/aligarh-muslim-university-aligarh/placement,https://www.careers360.com/university/aligarh-muslim-university-aligarh/courses,https://www.careers360.com/university/aligarh-muslim-university-aligarh/facilities
IIT Patna - Indian Institute of Technology Patna,34,4.7/5,Public/Government,"Fees :  ₹1.88 Lakhs  - ₹3 Lakhs, Fees :  ₹8.50 Lakhs  - ₹9.85 Lakhs",https://www.careers360.com/university/indian-institute-of-technology-patna/admission,https://www.careers360.com/university/indian-institute-of-technology-patna/placement,https://www.careers360.com/university/indian-institute-of-technology-patna/courses,https://www.careers360.com/university/indian-institute-of-technology-patna/facilities
"KL University Guntur - Koneru Lakshmaiah Education Foundation, Guntur",35,4.4/5,Private,"Fees :  ₹6.90 Lakhs  - ₹11.35 Lakhs, Fees :  ₹2.30 Lakhs  - ₹3.15 Lakhs",https://www.careers360.com/university/koneru-lakshmaiah-education-foundation-guntur/admission,https://www.careers360.com/university/koneru-lakshmaiah-education-foundation-guntur/placement,https://www.careers360.com/university/koneru-lakshmaiah-education-foundation-guntur/courses,https://www.careers360.com/university/koneru-lakshmaiah-education-foundation-guntur/facilities
"Kalasalingam Academy of Research and Education, Virudhunagar",36,4.0/5,Private,"Fees :  ₹4 Lakhs  - ₹12 Lakhs, Fees :  ₹1.31 Lakhs  - ₹1.51 Lakhs",https://www.careers360.com/university/kalasalingam-academy-of-research-and-education-virudhunagar/admission,https://www.careers360.com/university/kalasalingam-academy-of-research-and-education-virudhunagar/placement,https://www.careers360.com/university/kalasalingam-academy-of-research-and-education-virudhunagar/courses,https://www.careers360.com/university/kalasalingam-academy-of-research-and-education-virudhunagar/facilities
